,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
2352,,,betise,,,,n,EN495,an,no,conservative
2353,,,caper,,,,n,EN304,cds,no,inclusive
2354,,,wardress,,,,n,EN4172,cds,no,inclusive
2355,,,ckokroach,,,,n,EN7443,an,no,inclusive
2356,,,non-sensical,,,,n,EN4851,ddp,yes,conservative
2357,,,bendouin,,,,n,EN1015,ps,yes,inclusive
2358,,,stupidness,,,,n,EN5935,ddp,yes,conservative
2359,,,queen,,,,n,EN2437,or,no,conservative
2360,,,muggins,,,,n,EN515,an,no,conservative
2361,,,mosquitoes,,,,n,EN5388,an,no,inclusive
2362,,,bum,,,,n,EN1705,ps,yes,inclusive
2363,,,kine,,,,n,EN1473,an,no,inclusive
2364,,,painter,,,,n,EN5594,qas,no,inclusive
2365,,,mannii,,,,n,EN4415,pr,no,inclusive
2366,,,incriminates,,,,n,EN3072,cds,no,inclusive
2367,,,bigotry,,,,n,EN1066,svp,no,conservative
2368,,,professorships,,,,n,EN2244,pa,yes,inclusive
2369,,,dimwit,,,,n,EN2992,ddp,yes,conservative
2370,,,midge,,,,n,EN6025,an,no,inclusive
2371,,,thomas cleary,,,,n,EN3181,dmc,yes,conservative
2372,,,rookie,,,,n,EN2795,cds,no,conservative
2373,,,unlearned,,,,a,EN4915,ddp,yes,conservative
2374,,,dunderheads,,,,n,EN1927,ddp,yes,inclusive
2375,,,hypocrasy,,,,n,EN3176,dmc,yes,conservative
2376,,,vagabond,,,,n,EN1706,dmc,yes,inclusive
2377,,,immoralist,,,,n,EN3549,dmc,yes,inclusive
2378,,,infaunal,,,,n,EN386,an,no,inclusive
2379,,,angerings,,,,n,EN5212,svp,no,inclusive
2380,,,fabricator,,,,n,EN1042,cds,no,conservative
2381,,,prof.,,,,n,EN2247,pa,yes,inclusive
2382,,,accountancy qualifications and regulation,,,,n,EN7198,pa,yes,inclusive
2383,,,crocodilla,,,,n,EN2713,an,no,inclusive
2384,,,waggoner,,,,n,EN6537,pa,yes,inclusive
2385,,,plodder,,,,n,EN5412,an,no,conservative
2386,,,kerb crawling,,,,n,EN4442,pr,no,inclusive
2387,,,heaps,,,,n,EN3414,cds,no,inclusive
2388,,,slugabed,,,,n,EN5343,svp,no,conservative
2389,,,abactor,,,,n,EN5263,re,no,inclusive
2390,,,rag,,,,v,EN6633,qas,no,conservative
2391,,,homophilia,,,,n,EN2474,om,no,conservative
2392,,,crucifixion,,,,n,EN2791,re,no,inclusive
2393,,,rhetorician,,,,n,EN5794,qas,no,inclusive
2394,,,galoot,,,,n,EN1903,ddp,yes,conservative
2395,,,barbarian,,,,n,EN729,cds,no,conservative
2396,,,bumbler,,,,n,EN1409,dmc,yes,conservative
2397,,,criminally,,,,n,EN3034,cds,no,inclusive
2398,,,indolences,,,,n,EN6,svp,no,inclusive
2399,,,"""c"" word",,,,n,EN2824,or,no,conservative
2400,,,folly,,,,n,EN497,ddp,yes,conservative
2401,,,rip,,,,n,EN1376,dmc,yes,conservative
2402,,,microcephalous,,,,a,EN5915,ddp,yes,inclusive
2403,,,professional interrogation techniques,,,,n,EN7753,re,no,inclusive
2404,,,small fry,,,,n,EN5895,an,no,conservative
2405,,,funeral services,,,,n,EN1346,pa,yes,inclusive
2406,,,movie villains,,,,n,EN1747,an,no,conservative
2407,,,chiken,,,,n,EN7005,an,no,inclusive
2408,,,smart,,,,a,EN7547,cds,no,inclusive
2409,,,ballock,,,,n,EN667,asm,no,inclusive
2410,,,homosexual,,,,a,EN5179,om,no,conservative
2411,,,undoer,,,,n,EN2998,ps,yes,conservative
2412,,,knavish,,,,a,EN4331,cds,no,conservative
2413,,,gourmandizer,,,,n,EN3374,svp,no,inclusive
2414,,,defamer,,,,n,EN2027,re,no,conservative
2415,,,simpleton,,,,n,EN524,asm,no,inclusive
2416,,,cowardliness,,,,n,EN2523,cds,no,conservative
2417,,,know,,,,v,EN4285,asm,no,conservative
2418,,,egotisms,,,,n,EN1653,cds,no,conservative
2419,,,trumpery,,,,n,EN334,asf,no,conservative
2420,,,hack,,,,n,EN4328,an,no,inclusive
2421,,,mole,,,,n,EN4156,pr,no,inclusive
2422,,,businessperson,,,,n,EN1573,qas,no,inclusive
2423,,,the masons,,,,n,EN3994,cds,no,inclusive
2424,,,special circumstances,,,,n,EN6422,re,no,inclusive
2425,,,messalina complex,,,,n,EN6335,cds,no,conservative
2426,,,bean,,,,n,EN488,or,no,inclusive
2427,,,pédant,,,,n,EN6812,cds,no,conservative
2428,,,wakdjâka,,,,n,EN6497,dmc,yes,conservative
2429,,,pietism,,,,n,EN6897,cds,no,inclusive
2430,,,giullare,,,,n,EN3908,dmc,yes,inclusive
2431,,,katerfelts,,,,n,EN2543,cds,no,conservative
2432,,,lampyris bellieri,,,,n,EN7580,pr,no,inclusive
2433,,,gossips,,,,n,EN6848,cds,no,inclusive
2434,,,falsely accuse,,,,n,EN2006,re,no,inclusive
2435,,,latino,,,,n,EN6201,ps,yes,inclusive
2436,,,midg,,,,n,EN6023,an,no,inclusive
2437,,,tṛṣṇā,,,,n,EN2639,svp,no,inclusive
2438,,,malefactor,,,,n,EN1117,dmc,yes,inclusive
2439,,,plagarize,,,,n,EN6945,re,no,inclusive
2440,,,bordom,,,,n,EN1451,svp,no,inclusive
2441,,,great company,,,,n,EN7728,cds,no,inclusive
2442,,,maligner,,,,n,EN2028,re,no,conservative
2443,,,crossbred,,,,n,EN2768,ps,yes,inclusive
2444,,,conformists,,,,n,EN1404,qas,no,conservative
2445,,,villainous,,,,n,EN1753,cds,no,conservative
2446,,,headless,,,,a,EN502,ddp,yes,conservative
2447,,,solanum tuberosum tuberosum,,,,n,EN6712,or,no,inclusive
2448,,,strike breakers,,,,n,EN1282,cds,no,inclusive
2449,,,blackleggers,,,,n,EN1263,cds,no,inclusive
2450,,,moo-cow,,,,n,EN1466,pr,no,inclusive
2451,,,parayars,,,,n,EN1868,is,yes,inclusive
2452,,,psittaciform,,,,n,EN5670,an,no,inclusive
2453,,,patsy,,,,n,EN860,asm,no,conservative
2454,,,dissembler,,,,n,EN3197,dmc,yes,inclusive
2455,,,kerbcrawling,,,,n,EN4398,pr,no,inclusive
2456,,,abulia,,,,n,EN26,svp,no,inclusive
2457,,,fundamentalists,,,,n,EN4036,cds,no,inclusive
2458,,,villainesses,,,,n,EN1731,an,no,conservative
2459,,,mongloids,,,,n,EN6001,ps,yes,conservative
2460,,,dissembled,,,,n,EN5043,cds,no,conservative
2461,,,zigan,,,,n,EN8215,ps,yes,inclusive
2462,,,calumniation,,,,n,EN1990,re,no,inclusive
2463,,,idolized,,,,n,EN4748,cds,no,inclusive
2464,,,crocodilia,,,,n,EN2712,an,no,inclusive
2465,,,m. o. f. f. i. a.,,,,n,EN5497,cds,no,inclusive
2466,,,wit crackers,,,,n,EN3913,dmc,yes,inclusive
2467,,,outlawry,,,,n,EN1122,cds,no,conservative
2468,,,over ate,,,,n,EN4660,svp,no,inclusive
2469,,,barbarousness,,,,n,EN733,qas,no,conservative
2470,,,rez car,,,,n,EN1758,cds,no,inclusive
2471,,,varlet,,,,n,EN1100,dmc,yes,conservative
2472,,,lazyness,,,,n,EN16,svp,no,inclusive
2473,,,foreskins,,,,n,EN3931,asm,no,inclusive
2474,,,larsony,,,,n,EN4365,cds,no,inclusive
2475,,,freezer-duty,,,,n,EN5473,cds,no,conservative
2476,,,murders,,,,n,EN6449,re,no,inclusive
2477,,,unintelligence,,,,n,EN5954,asm,no,conservative
2478,,,legal practitioners,,,,n,EN796,pa,yes,inclusive
2479,,,antic,,,,n,EN307,cds,no,inclusive
2480,,,acquisitive,,,,a,EN709,svp,no,inclusive
2481,,,police officers,,,,n,EN5461,cds,no,inclusive
2482,,,bolox,,,,n,EN673,qas,no,inclusive
2483,,,bloodsucker,,,,n,EN7389,an,no,inclusive
2484,,,bedouin,,,,n,EN1009,ps,yes,inclusive
2485,,,masses,,,,n,EN4615,cds,no,conservative
2486,,,w-h-word,,,,n,EN4401,pr,no,conservative
2487,,,do-gooder,,,,n,EN4208,cds,no,conservative
2488,,,zaptiah,,,,n,EN5457,cds,no,inclusive
2489,,,worship,,,,v,EN6786,cds,no,inclusive
2490,,,commonness,,,,n,EN2186,an,no,conservative
2491,,,futility,,,,n,EN4052,svp,no,conservative
2492,,,ringleader,,,,n,EN5801,cds,no,inclusive
2493,,,crossdressing,,,,n,EN7801,om,no,inclusive
2494,,,cull,,,,n,EN2853,qas,no,conservative
2495,,,craftiness,,,,n,EN2629,cds,no,inclusive
2496,,,simulated,,,,a,EN7313,dmc,yes,inclusive
2497,,,fuddle,,,,n,EN2184,qas,no,inclusive
2498,,,brothel-keeper,,,,n,EN3771,cds,no,inclusive
2499,,,hyperphilias,,,,n,EN6228,cds,no,conservative
2500,,,schoolmarm,,,,n,EN4935,cds,no,inclusive
2501,,,latastea,,,,n,EN8040,an,no,inclusive
2502,,,dissatisfactory,,,,a,EN7294,ddf,yes,conservative
2503,,,microörganisms,,,,n,EN5869,an,no,inclusive
2504,,,spud,,,,n,EN6738,or,no,inclusive
2505,,,snaparazzi,,,,n,EN5597,cds,no,inclusive
2506,,,new-borns,,,,n,EN7067,cds,no,inclusive
2507,,,fatuously,,,,n,EN5940,asm,no,conservative
2508,,,puss,,,,n,EN2812,asf,no,conservative
2509,,,dope,,,,n,EN879,asf,no,conservative
2510,,,ghey,,,,n,EN2470,or,no,conservative
2511,,,stealer,,,,n,EN6031,re,no,inclusive
2512,,,dudett,,,,n,EN988,cds,no,inclusive
2513,,,tightwad,,,,n,EN662,svp,no,conservative
2514,,,overnutrition,,,,n,EN4661,svp,no,inclusive
2515,,,indifferent person,,,,n,EN43,svp,no,inclusive
2516,,,degradation,,,,n,EN3,dmc,yes,inclusive
2517,,,mf'er,,,,n,EN1310,cds,no,conservative
2518,,,hoboman,,,,n,EN1716,dmc,yes,conservative
2519,,,oleaginous,,,,a,EN7095,cds,no,conservative
2520,,,peasants,,,,n,EN1560,qas,no,inclusive
2521,,,delirious,,,,a,EN3465,qas,no,inclusive
2522,,,public accounting,,,,n,EN7207,pa,yes,inclusive
2523,,,usurer,,,,n,EN5073,cds,no,inclusive
2524,,,gourmandised,,,,n,EN3380,svp,no,conservative
2525,,,jewish,,,,n,EN4564,ps,yes,inclusive
2526,,,pop off,,,,v,EN6705,cds,no,inclusive
2527,,,streetwalker,,,,n,EN948,an,no,conservative
2528,,,handjob,,,,n,EN6915,asm,no,conservative
2529,,,effers,,,,n,EN2338,asm,no,conservative
2530,,,wanky,,,,n,EN2684,cds,no,conservative
2531,,,clichéd,,,,a,EN6986,cds,no,inclusive
2532,,,testes,,,,n,EN685,asm,no,inclusive
2533,,,esurience,,,,n,EN3446,svp,no,conservative
2534,,,lav,,,,n,EN5305,cds,no,inclusive
2535,,,gentlelady,,,,n,EN4978,om,no,inclusive
2536,,,paraiyars,,,,n,EN1875,dmc,yes,inclusive
2537,,,clutter,,,,n,EN2183,qas,no,inclusive
2538,,,crocodiles,,,,n,EN2692,an,no,inclusive
2539,,,cantharis noctiluca,,,,n,EN7577,pr,no,inclusive
2540,,,casinoes,,,,n,EN1863,cds,no,inclusive
2541,,,grandiosity,,,,n,EN7301,qas,no,inclusive
2542,,,feudal,,,,a,EN7363,qas,no,inclusive
2543,,,indelicacy,,,,n,EN3575,dmc,yes,inclusive
2544,,,legal profession,,,,n,EN821,pa,yes,inclusive
2545,,,dishonourable,,,,a,EN4969,dmc,yes,conservative
2546,,,rabbitkind,,,,n,EN2402,an,no,inclusive
2547,,,stolen property,,,,n,EN4388,re,no,inclusive
2548,,,smatter,,,,v,EN6571,cds,no,conservative
2549,,,john,,,,n,EN4428,pr,no,conservative
2550,,,tattle,,,,v,EN2533,cds,no,inclusive
2551,,,Çingene,,,,n,EN8198,ps,yes,inclusive
2552,,,market keeper,,,,n,EN5119,qas,no,inclusive
2553,,,man-eater,,,,n,EN1835,an,no,inclusive
2554,,,pelias schoettleri,,,,n,EN8054,an,no,inclusive
2555,,,rogue,,,,n,EN1105,re,no,conservative
2556,,,moralisation,,,,n,EN3585,dmc,yes,inclusive
2557,,,assfuck,,,,n,EN269,om,no,inclusive
2558,,,culls,,,,n,EN2861,qas,no,conservative
2559,,,euhyaena,,,,n,EN4719,an,no,inclusive
2560,,,loggerhead,,,,n,EN535,ddp,yes,conservative
2561,,,gallimaufry,,,,n,EN319,qas,no,inclusive
2562,,,odds and ends,,,,n,EN316,cds,no,inclusive
2563,,,shakkanho,,,,n,EN2106,cds,no,inclusive
2564,,,transformismo,,,,n,EN7677,cds,no,inclusive
2565,,,scorpionfish,,,,n,EN5803,an,no,inclusive
2566,,,faineant,,,,a,EN5015,dmc,yes,conservative
2567,,,starlet,,,,n,EN6029,qas,no,inclusive
2568,,,vagina,,,,n,EN4119,asf,no,conservative
2569,,,henchmen,,,,n,EN7413,cds,no,conservative
2570,,,retarded,,,,a,EN7314,ddp,yes,conservative
2571,,,superciliousness,,,,n,EN4691,cds,no,inclusive
2572,,,gaymen,,,,n,EN4487,om,no,inclusive
2573,,,infauna,,,,n,EN408,an,no,inclusive
2574,,,blood,,,,n,EN1378,dmc,yes,conservative
2575,,,caporal,,,,n,EN2408,pa,yes,inclusive
2576,,,snale,,,,n,EN5992,an,no,inclusive
2577,,,moralistically,,,,n,EN3548,dmc,yes,inclusive
2578,,,bargainer,,,,n,EN765,qas,no,inclusive
2579,,,testy,,,,a,EN5240,svp,no,conservative
2580,,,crododilians,,,,n,EN2709,an,no,inclusive
2581,,,embourgeoisement,,,,n,EN1607,qas,no,inclusive
2582,,,craven,,,,n,EN1889,cds,no,conservative
2583,,,vanity,,,,n,EN194,cds,no,conservative
2584,,,appropriatenesses,,,,n,EN3586,dmc,yes,inclusive
2585,,,bargain,,,,v,EN6605,cds,no,inclusive
2586,,,larceny,,,,n,EN4374,re,no,inclusive
2587,,,hypocrit,,,,n,EN3192,dmc,yes,conservative
2588,,,womancraziest,,,,n,EN6257,cds,no,conservative
2589,,,bigot,,,,n,EN1064,cds,no,conservative
2590,,,money-lending,,,,n,EN5081,cds,no,inclusive
2591,,,gormandise,,,,v,EN6648,cds,no,inclusive
2592,,,outwrest,,,,n,EN3835,re,no,inclusive
2593,,,hyper sexuality,,,,n,EN6354,cds,no,conservative
2594,,,meagerly,,,,a,EN7480,is,yes,inclusive
2595,,,male sexuality,,,,n,EN4486,om,no,inclusive
2596,,,ostrogoths,,,,n,EN5535,ps,yes,inclusive
2597,,,faculty,,,,n,EN128,pa,yes,inclusive
2598,,,do-nothing,,,,n,EN1724,cds,no,conservative
2599,,,sloven,,,,n,EN1232,an,no,conservative
2600,,,torturous death,,,,n,EN6426,re,no,inclusive
2601,,,correspondent,,,,n,EN2421,cds,no,inclusive
2602,,,niggardliness,,,,n,EN607,svp,no,inclusive
2603,,,invidiously,,,,n,EN5188,svp,no,inclusive
2604,,,mongrelism,,,,n,EN1249,cds,no,inclusive
2605,,,dissembles,,,,n,EN5038,cds,no,conservative
2606,,,hypersexuals,,,,n,EN6336,cds,no,conservative
2607,,,coarseness,,,,n,EN2187,an,no,conservative
2608,,,the egoist,,,,n,EN1651,cds,no,conservative
2609,,,lower intelligence,,,,n,EN5948,ddp,yes,conservative
2610,,,police man,,,,n,EN5463,cds,no,inclusive
2611,,,profligation,,,,n,EN3710,dmc,yes,inclusive
2612,,,professor,,,,n,EN2264,pa,yes,inclusive
2613,,,childish,,,,a,EN1060,ddp,yes,conservative
2614,,,wankers,,,,n,EN2678,cds,no,conservative
2615,,,prattler,,,,n,EN5742,ddp,yes,inclusive
2616,,,tightwaddery,,,,n,EN618,svp,no,inclusive
2617,,,pest resistance,,,,n,EN2785,ps,yes,inclusive
2618,,,misers,,,,n,EN617,svp,no,conservative
2619,,,Черножопый,,,,n,EN6096,ps,yes,conservative
2620,,,proximodistally,,,,n,EN3293,om,no,inclusive
2621,,,echidnoides,,,,n,EN8037,an,no,inclusive
2622,,,rent-boy,,,,n,EN938,pr,no,conservative
2623,,,mancrazier,,,,n,EN6256,cds,no,conservative
2624,,,ingroup,,,,n,EN1797,cds,no,inclusive
2625,,,gossipmonger,,,,n,EN2486,ddp,yes,conservative
2626,,,pullets,,,,n,EN7012,an,no,inclusive
2627,,,corporal,,,,n,EN2406,pa,yes,inclusive
2628,,,courtisane,,,,n,EN2964,pr,no,inclusive
2629,,,middle income,,,,n,EN1602,qas,no,inclusive
2630,,,c bomb,,,,n,EN2817,or,no,conservative
2631,,,piper o'possum,,,,n,EN486,or,no,inclusive
2632,,,caudal,,,,n,EN3242,om,no,inclusive
2633,,,demagogues,,,,n,EN2948,cds,no,conservative
2634,,,papa chester,,,,n,EN4124,asf,no,conservative
2635,,,paid sex,,,,n,EN4464,pr,no,conservative
2636,,,one-celled,,,,n,EN5860,an,no,inclusive
2637,,,metic,,,,n,EN5278,ps,yes,inclusive
2638,,,sluttishly,,,,n,EN909,pr,no,conservative
2639,,,hypersexually,,,,n,EN6328,cds,no,conservative
2640,,,hyper-sexualist,,,,n,EN6319,cds,no,conservative
2641,,,brown,,,,a,EN7087,asm,no,inclusive
2642,,,saligia,,,,n,EN599,svp,no,inclusive
2643,,,dehydrate,,,,v,EN6775,cds,no,inclusive
2644,,,bounder,,,,n,EN1226,cds,no,conservative
2645,,,lampyris sibirica,,,,n,EN7582,an,no,inclusive
2646,,,sciolist,,,,n,EN3515,qas,no,conservative
2647,,,hybridisation event,,,,n,EN2747,ps,yes,inclusive
2648,,,كس,,,,n,EN4120,asf,no,conservative
2649,,,pirates,,,,n,EN6936,re,no,inclusive
2650,,,shaven haven,,,,n,EN4200,asf,no,inclusive
2651,,,boycraziest,,,,n,EN6270,cds,no,conservative
2652,,,process,,,,n,EN327,asm,no,inclusive
2653,,,flub,,,,n,EN1386,cds,no,inclusive
2654,,,transvestites,,,,n,EN7828,om,no,inclusive
2655,,,junky,,,,n,EN3930,cds,no,conservative
2656,,,blackguard,,,,n,EN1228,an,no,conservative
2657,,,"antibodies, helminth",,,,n,EN6561,an,no,inclusive
2658,,,gourmand,,,,n,EN3381,svp,no,inclusive
2659,,,beefcow,,,,n,EN1022,an,no,inclusive
2660,,,hyaenas,,,,n,EN4707,an,no,inclusive
2661,,,tattie,,,,n,EN6743,or,no,inclusive
2662,,,granger,,,,n,EN3798,qas,no,inclusive
2663,,,sodomise,,,,n,EN239,om,no,inclusive
2664,,,quackeries,,,,n,EN2564,ddp,yes,conservative
2665,,,blackeness,,,,n,EN1160,ps,yes,inclusive
2666,,,escargots,,,,n,EN3518,an,no,inclusive
2667,,,knucklehead,,,,n,EN531,an,no,conservative
2668,,,anteriorly,,,,n,EN3288,om,no,inclusive
2669,,,cow's size,,,,n,EN1464,pr,no,inclusive
2670,,,bunny,,,,n,EN2394,an,no,inclusive
2671,,,improper,,,,n,EN3588,dmc,yes,inclusive
2672,,,ferociousness,,,,n,EN1437,ddp,yes,conservative
2673,,,lots,,,,n,EN3418,cds,no,inclusive
2674,,,mug,,,,n,EN862,asf,no,conservative
2675,,,clothes maidens,,,,n,EN971,cds,no,inclusive
2676,,,covetousness,,,,n,EN596,svp,no,inclusive
2677,,,ninny,,,,n,EN876,ddp,yes,conservative
2678,,,banker,,,,n,EN728,pa,yes,inclusive
2679,,,jerry,,,,n,EN3106,ps,yes,conservative
2680,,,theivery,,,,n,EN4375,cds,no,inclusive
2681,,,hyl,,,,n,EN5984,an,no,inclusive
2682,,,אגוטיזם,,,,n,EN1654,cds,no,conservative
2683,,,ruiner,,,,n,EN2994,ps,yes,conservative
2684,,,torturing,,,,n,EN7767,re,no,inclusive
2685,,,mafiosi,,,,n,EN5517,cds,no,conservative
2686,,,syrnium varium,,,,n,EN4778,an,no,inclusive
2687,,,judaity,,,,n,EN4555,ps,yes,inclusive
2688,,,roll in the hay,,,,n,EN2360,asm,no,conservative
2689,,,ravishment,,,,n,EN465,re,no,conservative
2690,,,snuff it,,,,v,EN6690,cds,no,inclusive
2691,,,orange blacks,,,,n,EN1529,asm,no,inclusive
2692,,,wankily,,,,n,EN2680,cds,no,conservative
2693,,,female illusionist,,,,n,EN7962,om,no,inclusive
2694,,,calumniator,,,,n,EN1972,re,no,inclusive
2695,,,schoolmistress,,,,n,EN5287,cds,no,conservative
2696,,,homophilic,,,,n,EN2472,om,no,conservative
2697,,,testicles,,,,n,EN692,qas,no,inclusive
2698,,,slattern,,,,n,EN915,an,no,conservative
2699,,,narcissistical,,,,n,EN6046,cds,no,inclusive
2700,,,brant,,,,n,EN6397,an,no,inclusive
2701,,,accuse falsely,,,,n,EN2020,re,no,inclusive
2702,,,clansmen,,,,n,EN2127,cds,no,inclusive
2703,,,ewwww,,,,n,EN3163,svp,no,inclusive
2704,,,fuckhead,,,,n,EN533,asf,no,conservative
2705,,,gstieß,,,,n,EN3916,dmc,yes,inclusive
2706,,,mazafaka,,,,n,EN1306,cds,no,conservative
2707,,,girl craziest,,,,n,EN6245,cds,no,conservative
2708,,,conformism,,,,n,EN2797,qas,no,inclusive
2709,,,turnip,,,,n,EN7224,or,no,inclusive
2710,,,african-negroes,,,,n,EN6121,ps,yes,inclusive
2711,,,bawd,,,,n,EN885,pr,no,conservative
2712,,,know-all,,,,n,EN6814,cds,no,conservative
2713,,,cocaroah,,,,n,EN7428,an,no,inclusive
2714,,,farm-settler,,,,n,EN3789,qas,no,inclusive
2715,,,ectoparasitic infestations,,,,n,EN5644,qas,no,inclusive
2716,,,cross-breeding,,,,n,EN2722,ps,yes,inclusive
2717,,,conspiracy theorist,,,,n,EN7944,cds,no,inclusive
2718,,,prepuce,,,,n,EN3933,asm,no,inclusive
2719,,,irritable,,,,a,EN5233,svp,no,conservative
2720,,,officer,,,,n,EN5478,cds,no,conservative
2721,,,ballup,,,,n,EN2217,cds,no,inclusive
2722,,,housekeeping,,,,n,EN4672,qas,no,inclusive
2723,,,people,,,,n,EN4614,cds,no,conservative
2724,,,homosexulity,,,,n,EN4530,om,no,inclusive
2725,,,tai ee long,,,,n,EN5068,cds,no,conservative
2726,,,mid-clavicular line,,,,n,EN3229,om,no,inclusive
2727,,,peasant,,,,n,EN745,rci,yes,conservative
2728,,,dissimulatively,,,,n,EN3202,dmc,yes,conservative
2729,,,no-account,,,,n,EN4242,svp,no,conservative
2730,,,amoralize,,,,n,EN3604,dmc,yes,inclusive
2731,,,otus asio,,,,n,EN5550,an,no,inclusive
2732,,,testicals,,,,n,EN678,qas,no,inclusive
2733,,,phiz,,,,n,EN2499,an,no,inclusive
2734,,,szgany,,,,n,EN8217,ps,yes,inclusive
2735,,,layabout,,,,n,EN1727,svp,no,conservative
2736,,,hyaena,,,,n,EN4712,an,no,inclusive
2737,,,conformation,,,,n,EN2803,qas,no,inclusive
2738,,,dissimulations,,,,n,EN3171,dmc,yes,conservative
2739,,,fraudster,,,,n,EN2043,cds,no,inclusive
2740,,,larceny-theft,,,,n,EN4376,re,no,inclusive
2741,,,working rich,,,,n,EN6615,cds,no,inclusive
2742,,,shepherded,,,,n,EN5973,pa,yes,inclusive
2743,,,infants,,,,n,EN7070,cds,no,inclusive
2744,,,mephitis,,,,n,EN3853,dmc,yes,conservative
2745,,,rhetor,,,,n,EN5789,qas,no,inclusive
2746,,,extreme right-winger,,,,n,EN4262,cds,no,conservative
2747,,,sextraders,,,,n,EN3767,cds,no,inclusive
2748,,,cardinal sins,,,,n,EN577,svp,no,inclusive
2749,,,villan,,,,n,EN1750,cds,no,conservative
2750,,,money lending,,,,n,EN5089,cds,no,inclusive
2751,,,school marm,,,,n,EN4940,cds,no,inclusive
2752,,,dun,,,,v,EN6634,qas,no,conservative
2753,,,chiseller,,,,n,EN2036,cds,no,inclusive
2754,,,sonuvabitch,,,,n,EN1928,pr,no,conservative
2755,,,skunk,,,,n,EN1708,dmc,yes,conservative
2756,,,dogmatism,,,,n,EN1401,cds,no,conservative
2757,,,sexual motivation,,,,n,EN2291,svp,no,inclusive
2758,,,hoaxster,,,,n,EN7912,an,no,conservative
2759,,,fucknut,,,,n,EN2312,asm,no,conservative
2760,,,sleiveen,,,,n,EN4054,cds,no,conservative
2761,,,amoralizations,,,,n,EN3545,dmc,yes,inclusive
2762,,,cordwainer,,,,n,EN7974,pa,yes,inclusive
2763,,,persons involved in the sex trade,,,,n,EN4449,pr,no,conservative
2764,,,mental deficiency,,,,n,EN5229,ddp,yes,inclusive
2765,,,blackishorange,,,,n,EN1543,asm,no,inclusive
2766,,,scrabble,,,,v,EN6828,cds,no,inclusive
2767,,,disablement,,,,n,EN4811,ddf,yes,inclusive
2768,,,freemasonic,,,,n,EN3968,cds,no,inclusive
2769,,,trollop,,,,n,EN891,pr,no,conservative
2770,,,abusers,,,,n,EN64,re,no,inclusive
2771,,,akateemikko,,,,n,EN137,pa,yes,inclusive
2772,,,suitor,,,,n,EN6189,pa,yes,inclusive
2773,,,emptiness,,,,n,EN7981,svp,no,conservative
2774,,,paper-pusher,,,,n,EN5609,cds,no,inclusive
2775,,,freshness,,,,n,EN2045,cds,no,conservative
2776,,,japanese units,,,,n,EN2134,cds,no,inclusive
2777,,,ill-scented,,,,a,EN4149,dmc,yes,conservative
2778,,,ostentation,,,,n,EN4926,cds,no,inclusive
2779,,,indolencies,,,,n,EN13,svp,no,inclusive
2780,,,unfounded accusations,,,,n,EN2018,re,no,inclusive
2781,,,unwiseness,,,,n,EN7497,ddp,yes,inclusive
2782,,,hyperlibido,,,,n,EN6358,cds,no,conservative
2783,,,stronzo,,,,n,EN4826,ddp,yes,conservative
